lang,CreoleVal,FLORES,JHU,LegoMT,Other,Ours_public,Ours_all
acf,7864,0,15989,0,0,4406,23916
aoa,0,0,0,0,0,198,198
bah,0,0,0,0,0,327,327
brc,0,0,0,0,0,222,222
bzj,14911,0,23406,0,0,229,31002
bzk,0,0,0,0,0,391,391
cab,0,0,20879,0,0,0,20879
cri,0,0,0,0,0,306,306
crs,222613,0,5055,0,0,3186,225875
dcr,0,0,0,0,0,189,189
djk,45361,0,23748,7868,0,15266,68833
fab,0,0,0,0,0,204,204
fng,0,0,0,0,0,160,160
fpe,0,0,0,0,0,259,259
gcf,0,0,0,96,0,6467,6467
gcr,0,0,0,0,0,1433,1433
gpe,0,0,0,0,0,223,223
gul,7870,0,7990,0,0,266,8831
gyn,0,0,0,0,0,258,258
hat,210593,2006,72354,477048,0,5715227,6023034
icr,7799,0,15702,0,0,317,16774
jam,7988,0,25206,26,0,434,28713
kea,0,2009,0,0,0,132931,132931
kri,50438,0,23740,0,0,185,66736
ktu,7886,0,5055,0,0,175,10737
lou,0,0,0,0,0,1860,1860
mart1259,0,0,0,0,0,5153,5153
mfe,191909,0,23625,399,24688,25633,233320
mue,0,0,0,0,0,147,147
pap,397354,2009,5018,269,0,4968965,5363394
pcm,31128,0,15905,0,7831,8084,47455
pov,0,0,0,0,0,480,480
pre,0,0,0,0,0,243,243
rcf,0,0,0,0,0,285,285
sag,262334,2009,16952,9,0,260560,535310
srm,42303,0,23531,0,0,440,59053
srn,583830,0,24569,0,0,6620,615010
svc,0,0,0,0,0,321,321
tpi,398341,2009,81595,70,0,451758,925648
trf,0,0,0,0,0,1691,1691
wes,0,0,0,0,0,223,223
Total,2490522,10042,430319,485785,32519,11615722,14458491
